method,region,size,threads,mean,ci
pth_com,Full_Picture,64,8,0.001079918,3.5136212048e-5
pth_com,Full_Picture,64,16,0.001194715,2.5758055400000007e-5
pth_com,Full_Picture,64,32,0.001502359,3.2096397676000005e-5
pth_com,Full_Picture,128,1,0.004138557,1.9467772128e-5
pth_com,Full_Picture,128,2,0.003281512,2.572705408e-5
pth_com,Full_Picture,128,4,0.002417912,3.1752020384000006e-5
pth_com,Full_Picture,128,8,0.002631018,0.00021916379940000003
pth_com,Full_Picture,128,16,0.002478848,5.052883763200001e-5
pth_com,Full_Picture,128,32,0.002336191,0.00012821016208
pth_com,Full_Picture,256,1,0.014710743,0.00029986378531200004
pth_com,Full_Picture,256,2,0.011258107,0.000238311608976
pth_com,Full_Picture,256,4,0.007517122,0.00022247674271200002
pth_com,Full_Picture,256,8,0.0076772,0.00010232172160000001
pth_com,Full_Picture,256,16,0.007063288,8.998628912e-5
pth_com,Full_Picture,256,32,0.005936438,0.00014776981469599997
pth_com,Full_Picture,512,1,0.053864908,0.0014252654656800002
pth_com,Full_Picture,512,2,0.039115122,4.5999383472e-5
pth_com,Full_Picture,512,4,0.030880506,0.0008957817180479999
pth_com,Full_Picture,512,8,0.031366795,0.00085455696298
pth_com,Full_Picture,512,16,0.027042312,0.0009381518879039999
pth_com,Full_Picture,512,32,0.020664057,0.000457667534436
pth_com,Full_Picture,1024,1,0.209849846,0.010858470431424001
pth_com,Full_Picture,1024,2,0.154193533,0.00045332898702
pth_com,Full_Picture,1024,4,0.104844007,0.0018083494327360001
pth_com,Full_Picture,1024,8,0.119629557,0.0027902397874679996
pth_com,Full_Picture,1024,16,0.103416436,0.002655320410736
pth_com,Full_Picture,1024,32,0.078194168,0.0013640190665919999
pth_com,Full_Picture,2048,1,0.799241682,0.0029763760237680003
pth_com,Full_Picture,2048,2,0.606873445,0.0024978910996199997
pth_com,Full_Picture,2048,4,0.40924572,0.00104275809456
pth_com,Full_Picture,2048,8,0.445853649,0.0016603589888760002
pth_com,Full_Picture,2048,16,0.395690535,0.0019388836214999999
pth_com,Full_Picture,2048,32,0.304195204,0.0035177133390559994
pth_com,Full_Picture,4096,1,3.135635726,0.014750030455104
pth_com,Full_Picture,4096,2,2.447034914,0.04124722051038401
pth_com,Full_Picture,4096,4,1.643814021,0.011920939280292
pth_com,Full_Picture,4096,8,1.784436248,0.015039228698144001
pth_com,Full_Picture,4096,16,1.585563207,0.008390800491444
pth_com,Full_Picture,4096,32,1.223881288,0.019190458595840003
pth_com,Full_Picture,8192,1,12.38221735,0.0194153168048
pth_com,Full_Picture,8192,2,9.608867861,0.06215015732494801
pth_com,Full_Picture,8192,4,6.48999002,0.017808532614880003
pth_com,Full_Picture,8192,8,6.987024015,0.024650220724920003
pth_com,Full_Picture,8192,16,6.306951644,0.025959412966703996
pth_com,Full_Picture,8192,32,4.831830514,0.063451598309848
pth_com,Seahorse_Valley,16,1,0.000798781,1.878732912e-5
