method,threads,process,dimension,mean,ci
cuda_mpi_2,1,56,64,15.816,1.1446399999999999
cuda_mpi_2,1,60,4,16.129,0.95648
cuda_mpi_2,1,60,8,17.067,1.10152
cuda_mpi_2,1,60,16,14.9274,0.144648
cuda_mpi_2,1,60,32,17.011,1.13092
cuda_mpi_2,1,60,64,16.161,1.04272
cuda_mpi_2,1,64,4,16.705,0.9133600000000001
cuda_mpi_2,1,64,8,17.267,1.02312
cuda_mpi_2,1,64,16,17.026,1.07212
cuda_mpi_2,1,64,32,17.837,1.03488
cuda_mpi_2,1,64,64,15.933,0.56448
